description,category
Personal decision: A private decision involving decision-maker’s own action point  e.g.  whom to marry.,decision
Personal Probability: Judger’s uncertainty  expressed as a number  0 to 1  i.e.  the frequency function.,decision
Personal Utility: any quantified measure of welfare  satisfaction point  happiness  etc  for decision-maker  reflecting decision-maker’s preferences,decision
Personalist position: Models human judgment  e.g.  to maximize personal average utility.,decision
Pessimism decision rule: When high stakes call for conservative choices  a minimax rule is used to identify future conditions that lead to the worst outcomes and to make choices that avoid these future conditions by selection of the alternative with the best payoff that is left.,decision
Planning: A managerial function concerned with making forecasts  formulating outlines of things to do  and identifying methods to accomplish them.,decision
Plus-minus tally: Deriving utility of an option as the sum of pluses/minuses for each criterion  without explicitly considering the relative importance of the criteria.,decision
Possibility fork: Branches of outcomes  i.e.  event fork.,decision
Prediction: The act of estimating something before it occurs.,decision
Preference covariation: Related to value judgments.,decision
Preferences: decision-maker’s underlying or reported value judgments  tastes.,decision
Prescriptive: Prescribes action point that should be taken.,decision
Present equivalent: An amount received now as a judgmental equivalent to future amount  e.g.  stream of money  present value.,decision
Preventive Strategies for Bad Decisions: Tough decisions can become bad decisions when ambiguity  uncertainty  and conflict are ignored  treated superficially  or assumed away during decision making.,decision
Tough decisions can produce bad outcomes no matter what precautions decision makers take  because key point factors that influence the outcome are often governed by chance events.,decision
Bad decisions occur when foreseeable events are not recognized and managed. Informed decision makers adopt good decision practices and take realistic steps to appraise outcomes  seeking ways to improve their decision-making capacity.,decision
The decision process presented in the companion sites is designed to overcome the problems encountered by managers in coping with tough decisions. The recommended order of activity is as follow:,decision
Explore possibilities by uncovering core problems  setting objectives  and identifying ways to respond. ,decision
Assess options by using criteria derived from objectives linked to the likelihood of future conditions and the values of key point stakeholders. ,decision
Experiment by relaxing key point assumptions to assess risk. .,decision
Search for missed opportunities by reflecting on outcomes. ,decision
Prior judgment: Before some specified evidence is learned.,decision
Prisoners\' Dilemma: A decision situation which illustrates the benefits of cooperation or collective action point but also the difficulty of arriving at such an outcome. The decision payoffs are structured so that it is individually beneficial not to collaborate (with the fellow prisoner) even though collaboration by both would yield acceptable outcomes (and clearly better than if both defect). Each prisoner feels that she has to defect due to the uncertainty about the "partner\'s" action point.,decision
Private mode: Decision in private life  personal or civic  i.e.  nonprofessional.,decision
Probability distribution: probability assigned to all values of a possibility  mass/density function.,decision
Probability tree: Displays unconditional and conditional probabilities of covarying possibilities.,decision
Probability: Metric 0-1 obeying certain formal rules (e.g.  sum to 1)  frequency  chance.,decision
The likelihood or chance that a certain event will occur. Probabilities may be based on objective statistical (frequency-of- occurrence procedures) or on subjective procedures and personal beliefs. In Bayesian analysis  a distinction is made between prior (before... ) and posterior probabilities (after specific additional information had a chance to change the prior beliefs or estimations).,decision
Probability-weighted average: Sum of all possible outcomes of a gamble times the probability of each  expected value  e-value  and expectation  mean.,decision
Problem situations: Concerns that specify what a decision is about  including background information that depicts its origins and the motivations of stakeholders.,decision
Problem Solving: This term is sometimes used to refer to analytical problem solving workshops that seek to analyze and resolve conflicts based on identifying and providing the underlying human needs. In other situations  it refers to an approach to mediation that focuses primarily on resolving the conflict,decision
Procedural problems: Procedural problems are problems with decision making procedures. Examples are decisions that are made without considering relevant and important facts  decisions that are made arbitrarily without considering the interests or needs of the affected people  or decisions that are made without following the established and accepted process. Often  procedural problems can intensify and complicate disputes which could be resolved relatively easily if proper procedures were followed.,decision
Professional decision: Made in a professional capacity (e.g.  as manager).,decision
Prospect: Future possibility.,decision
Prospective decision: One not to be made now  but possibly later. It is the opposite of current.,decision
Prototyping: A strategy in system development in which a scaled down system or portion of a system is constructed in a short time  tested  and improved in several iterations. A prototype is an initial version of a system that is quickly developed to test the effectiveness of the overall design being used to solve a particular problem.,decision
Psychological field: All that is in a person’s mind.,decision
Pure Uncertainty model: Elaborates only uncertainty considerations.,decision
Puzzlement: A condition that arises when cues that describe what a decision is about are obscure or vague.,decision
Qualitative information: Descriptions of the basic nature of a decision according to features that characterize sentiments of key point stakeholders  winner and losers for particular options  problem definitions  and so on  expressed as criteria weights and likelihood of future conditions.,decision
Quantitative information: Measurements of factors pertinent to decisions  such as costs or questionnaire results that capture sentiments.,decision
Rating scale: Artificially constructed  e.g.  0 to 100  for an attribute that has no natural metric,decision
Rational Decision Behavior: Behavior that is goal-oriented in reaching a decision. Behavior is guided by the consequences likely to result from the selection of a given alternative. A decision maker believes based upon analysis that a chosen alternative will result in achieving one or more desired objectives.,decision
Rational: Advances decision-maker’s welfare effectively  based on all decision-maker’s knowledge and judgments  constrained to be globally coherent.,decision
Rationale: Explanation of reasons for an input.,decision
Rationality: A way of thinking about a decision that stresses political  logical  and ethical means of drawing an inference to make a judgment.,decision
Realistic assumption: Actual (not arbitrary) position.,decision
Redundancy: Double-counting.,decision
Regret decision rule: Using a minmax rule to find alternatives with the greatest lost/gain if not adopted and select the alternative that best manages the postdecisional regret of missed opportunity.,decision
Replacement: Decision tool that bypasses and substitutes for unaided judgment.,decision
Representation heuristic: Use of a past decision as an example from which premises about information relationships are drawn and used to make future decisions.,decision
Representation: The formulation or view of a problem. It is developed so the problem will be easier to solve.,decision
Representational decisions: Choices for which there is a rich informational base and an accepted way to manipulate the data.,decision
Representative value: Single value substituted for segment of a distribution.,decision
Risk averse: decision-maker dislikes possibility of bad gamble outcome.,decision
Risk neutral: decision-maker is prepared to play the averages.,decision
Risk penalty: Amount by which average utility is to be reduced to account for risk  to produce a certain equivalent.,decision
Risk: The chance that a bad outcome will occur  no matter what precautions are taken. Generally defined as the cost/expected value of an unfavorable outcome in decision situation where the probabilities are known. Thus  risk is used to describe the costs associated with the inability to predict exactly  even if you have (what you think are) precise probabilities  since any probability that you can expect a favorable outcome up to 99.9..% leaves the (possibly very small) chance that it does not come about. ,decision
In decision theory and in statistics  risk means uncertainty for which the probability distribution is known. Accordingly  risk analysis] it means a study to determine the outcomes of decisions along with their probabilities. In systems analysis  a decision maker is often concerned with the probability that a project (the chosen alternative) cannot be carried out with the time and money available. This risk of failure may differ from alternative to alternative and should be estimated as part of the analysis. In another usage  risk means an uncertain and strongly adverse impact  as in the risks of nuclear power plants to the population are... In that case  risk analysis or risk assessment is a study composed of two parts  the first dealing with the identification of the strongly adverse impacts  and the second with determination of their respective probabilities.,decision
Roll back: to analyze a decision tree by progressively replacing judgments by logically equivalent substitutes  fold back.,decision
Root cause: The source or origin of a decision that indicates the necessity to act.,decision
Rule of thumb: An approach that is based on experience  not scientific knowledge  and is thought to be useful in carrying out some aspects of decision making.,decision
Satisfice: settle on the first option satisfactory to decision-maker.,decision
Satisficing: A decision rule calling for the first alternative that meets preset norms to be adopted.,decision
Scenario: A prospect comprising a sequence of events.,decision
Schema: A systematic program of action point to attain an objective that is often unspoken and applied intuitively.,decision
Search decisions: Decisions made in situations that are information-poor and in which there is no obvious or agreed-upon way to formulate the decision to collect and analyze information.,decision
Selective perspective: Recognition of information only when it is consistent with the decision maker’s inclinations or prejudices  a tendency that often leads the decision maker to ignore all other information.,decision
Sensitivity analysis:A technique used to examine the risk in assumptions about key point factors  such as interest rates and the relative weight of cost and quality criteria  in the choice among alternatives. Sensitivity analysis is the most general term used to describe through which one gauges the relative sensitivity of the value of the objective function to a one unit change in any of its solution variables. It is often done by running a decision model several times with different inputs so a modeler can analyze the alternative results.,decision
Testing the impact of alternative input judgments on analysis findings.,decision
Sequential decisions: Decisions in which opportunities to purchase clarifying information arise throughout the decision process.,decision
Set of possibilities vs. a possibility: E.g.  white color is a se of possibilities; red is a possibility within that set.,decision
Setting: A possibility that affects an option consequence but is not itself a consequence.,decision
Simulation Models A simulation is the execution of a model  represented by a computer program that gives information about the system being investigated. The simulation approach of analyzing a model is opposed to the analytical approach  where the method of analyzing the system is purely theoretical. As this approach is more reliable  the simulation approach gives more flexibility and convenience. The activities of the model consist of events  which are activated at certain points in time and in this way affect the overall state of the system. The points in time that an event is activated are randomized  so no input from outside the system is required. Events exist autonomously and they are discrete so between the executions of two events nothing happens.,decision
Why are we running these simulations? Simulation is an appropriate methodology whenever a social phenomenon is not directly accessible  either because it no longer exits (as in archaeological studies) or because its structure or the effects of its structure   i.e.  its behavior  are so complex that the observer cannot directly attain a clear picture of what is going on (as in some studies of world politics). The simulation is based upon a model constructed by the researcher that is more observable than the target phenomenon itself.,decision
Single-pass evaluation: Produces only one evaluation of a given judgment.,decision
Sole practitioner: Professional decision-maker in private practice,decision
Stakeholders: Groups that have a share or interest in a decision and its outcome  or that are impacted by a decision  even if they are not part of the decision making process. That is  people who have legitimate interests or stakes in the decision.,decision
Standard Base: Fixed base corresponding to a normal or average situation.,decision
Strategic Decision-making: As different from programmed  routine decisions  strategic decisions tend to be relatively infrequent  not repetitive  involve the commitment of considerable resources (capital)  and have long-time horizons with significant levels of uncertainty.,decision
Structured Decision: It is any standard or repetitive decision situation for which solution techniques are already available. It is also sometimes called routine or programmed decisions. The structural elements in the situation  e.g. alternatives  criteria  environmental conditions  are known  defined and understood.,decision
Structured opportunities: Opportunities that are clear because the set of favorable circumstances that can be exploited is known.,decision
Structured problems: Problems that are understood because most of their component parts can be identified.,decision
Structure-intensive model: Main analytic effort is on structure  not input.,decision
Styles of Decision Making:,decision
The distinctive features of the sixteen decisions styles offer a means to anticipate conflicts so they can be mediated and a way for managers to appreciate styles that differ from their own.,decision
People alter their styles in two ways. First  managers who lack clear-cut preferences shift among styles called auxiliaries. As a result  many managers have a range of styles that they unconsciously apply. Second  perceptively oriented managers with a strong internal focus have no means to implement their ideas and must shift to another style to take overt action point. For these managers  behavior is misleading and does not signify how they arrived at a decision.,decision
Shadow styles identify means of appreciation (S  N  T  or F) and taking action point (I  E  J  or P) that a manager overlooks when making a decision. Managers who reflect on the means they seldom use can test their decisions in fresh ways  which will provide new insights that help to avert decision debacles.,decision
Coalitions and groups are formed so that members have perspectives that compliment the decision maker. If the coalition or group is well managed  superior decisions will result.,decision
Subjective estimates: Best guesses about factors influenced by chance events  such as the prospects of high demand for a product or high usage for a service  and the relative importance of criteria used to compare alternatives.,decision
Substitute: A hypothetical entity  model  judgment  treated as if it were another entity,decision
Sufficient model: Minimum of analysis complexity that permit options to be evaluated.,decision
Surrogate metric: Numerical natural substitute for a nonnatural measure.,decision
Symptomatic problems: Signs and signals that suggest superficial concerns and not the underlying issues that are prompting the need to act.,decision
Synergy: More of one criterion increases utility of other  e.g.  advertising and sales.,decision
System Analysis: This term has many different meanings. The systems analysis is an explicit formal inquiry carried out to help someone (referred to as the decision maker) identify a better course of action point and make a better decision than he might otherwise have made. The characteristic attributes of a problem situation where systems analysis is called upon are complexity of the issue and uncertainty of the outcome of any course of action point that might reasonably be taken. Systems analysis usually has some combination of the following: identification and re-identification) of objectives  constraintS  and alternative courses of action point; examination of the probable consequences of the alternatives in terms of costs  benefits  and risks; presentation of the results in a comparative framework so that the decision maker can make an informed choice from among the alternatives. A systems analysis that concentrates on comparison and ranking of alternatives on basis of their known characteristics is referred to as decision analysis. ,decision
The part or aspect of systems analysis that concentrates on finding out whether an intended course of action point violates any constraints is referred to as feasibility analysis. A systems analysis in which the alternatives are ranked in terms of effectiveness for fixed cost or in terms of cost for equal effectiveness is referred to as cost-effectiveness analysis. Cost-benefit analysis is a study where for each alternative the time stream of costs and the time stream of benefits (both in monetary units) are discounted to yield their present values. The comparison and ranking are made in terms of net benefits (benefits minus cost) or the ratio of benefits to costs. In risk-benefit analysis  cost (in monetary units) is assigned to each risk so as to make possible a comparison of the discounted sum of these costs (and of other costs as well) with the discounted sum of benefits that are predicted to result from the decision. The risks considered are usually events whose probability of occurrence is low  but whose adverse consequences would be important  e.g.  events such as an earthquake or explosion of a plant. ,decision
The diagnosis formulation  and solution of problems that arise out of the complex forms of interaction point in systems  from hardware to corporations  that exist or are conceived to accomplish one or more specific objectives. Systems analysis provides a variety of analytical tools  design methods and evaluative techniques to aid in decision making regarding such systems.,decision
Systems Thinking: A way of thinking about  and a language for describing and understanding  the forces and interrelationships that shape the behavior of systems... helps us to see how to change systems more effectively  and to act more in tune with the larger processes of the natural and economic world.,decision
Tacit Knowledge: A reference to types of knowledge which cannot be stated explicitly and therefore cannot be easily communicated and transferred. It therefore contrasts with codified or explicit knowledge. Personal skills are frequently cited as an important example of tacit knowledge.,decision
Tactics: Procedures that specify one or more steps to be taken to deal with a particular stage of the decision process.,decision
Target judgment: Objective of the enquiry.,decision
Theories: A Theory is a systematic explanatory statement comprising a deductively connected set of (inductively/empirically derived) laws or propositions which relate (dependent and independent) variables to each other. Theories are the propositions that describe what one believes to be true about people  object  and event relationships.,decision
Tier: A level in hierarchy.,decision
Tough decisions: A class of decisions plagued by ambiguity  conflict  and uncertainty.,decision
Tree Diagram: It is a visual way of representing hierarchies  commonly used  for instance  for representing organization charts. A tree diagram represents the hierarchy by displaying each object in the hierarchy as a box with lines connecting to its parent and to each of its children.,decision
Tree sequence: Single succession of possibilities on a decision or probability tree.,decision
Uncertainties: In decision theory and statistics  a precise distinction is made between a situation of risk and one of certainty. There is an uncontrollable random event inherent in both of these situations. The distinction is that in a risky situation the uncontrollable random event comes from a known probability distribution  whereas in an uncertain situation the probability distribution is unknown.,decision
Uncertainty: Doubt about the magnitude of key point future conditions  such as the level of demand  interest rates  or inflation.,decision
Uncertainty: reference to the lack of knowledge (ignorance) about the state of the environment or other decision variables.,decision
Uncertainty about the future vs. uncertainty about other places  events  structures and other phenomena,decision
Risk: reference to the consequences of uncertainty  such as regret often expressed in terms of probabilities of such consequences uncertainty then reduced to uncertainty about actual occurrence and  possibly  about the reliability of probabilities.,decision
it shall be suggested that complexity (at a point in time) and instability (over time) are two different root causes of uncertainty and that these two attributes of decision environments lead to:,decision
poor quality of information  ,decision
leads & lags in the economy resulting in delays in information feedback  and ,decision
a lack of causal understanding ,decision
and thereby contribute to the individual\'s uncertainty and can be identified as more immediate causes for uncertainty.,decision
Uncertainty is a ubiquitous phenomenon in everyday life  but it is also a topic of fundamental significance to many scientific disciplines. Uncertainty taken here in a broad sense  has many facets - among them probability and vagueness  including possibility  confidence  fuzziness etc. These are captured by different theories which often seem to be conceptually and technically incompatible. Therefore there is no universally accepted theory covering all this area and there are many reasons why we shall neither expect nor want to have one. On the other hand there have been attempts to cross the borders - there are theories trying to bridge gaps between rival approaches and looking for their common background.,decision
Unconscious Preference:,decision
A manager’s cognitive makeup creates preferences for particular types of reasoning. Such traits are expressed as styles of making choices and implementing a preferred course of action point.,decision
Four choice styles and four implementation styles that use very different approaches to making choices and taking action point were defined. A balanced perspective  drawing on the insights to be gleaned from each style  produces superior decisions.,decision
Managers who use their style blindly often create conflicts with others who have different style. These conflicts can be productive if the decision makers learn to appreciate the unique insights people with different styles bring to a decision process. This appreciation leads to self-awareness and demonstrates the value of using multiple perspectives in decision making.,decision
Matching decision approaches to types of decisions depends on appreciating the value of various types of reasoning that one can use to make judgments.,decision
Uncovering the Core Decision:,decision
Problem identification and exploration procedures can be used in the analytical  group  and mixed-mode decision processes. These procedures are applied by a decision maker in the analytical process and by a group in the group process.,decision
The mixed-mode process calls for more elaborate procedures to deal with the stress-induced conflict in tough decisions. For theses decisions  both core problems and stakeholders can be unclear and potentially in conflict: ,decision
Careful exploration of problems provides different frames or windows that offer different ways to explore possibilities as a decision maker attempts to separate symptomatic from core problems. Procedures were offered to identify and explore core problems. ,decision
Using the insights gained from the problem assessment steps  decision makers define a coalition consistent with interests that they are pledged to represent. This coalition  using an appropriate group process  examines the decision and selects a problem that it will use to guide the decision process. ,decision
To deal with the coalition  decision makers need tactics for conflict management. key point steps call for emotional inoculation  exploration of the effects of bad outcomes  and precautionary corrective action points that prepare stakeholders for possible setbacks.,decision
Unstructured Decisions: This type of decision situation is complex and no standard solutions exist for resolving the situation. Some or all of the structural elements of the decision situation are undefined  ill-defined or unknown. For example  goals may be poorly defined  alternatives may be incomplete or non-comparable  choice criteria may be hard to measure or difficult to link to goals.,decision
Unstructured opportunities: Opportunities that are vague because key point events needed to produce favorable outcomes are uncertain.,decision
Unstructured problems: Problems that are poorly understood because most of their component parts are unknown or contentious.,decision
Utility: In economics  utility means the real or fancied ability of a good or service to satisfy a human want. An associated term is welfare function (synonym: utility function--not to be confused with utility function in decision theory; see below)  which relates the utility derived by an individual or group to the goods and services that it consumes. Marginal utility is the change in utility due to a one unit change in the quantity of a good or service consumed. ,decision
In decision theory  utility is a measure of the desirability of consequences of courses of action point that applies to decision making under risk--that is  under uncertainty with known probabilities. ,decision
Utility theory provides a basis for the assignment of utilities to consequences. There exist various methods for constructing utility functions. The best-known method is based on indifference judgments of the decision maker about specially constructed alternatives (lotteries). ,decision
It is the usefulness or the value  that is an attribute denoting the capacity to satisfy human desires  usually measured by the price someone is willing to pay. Marginal utility is the change in utility due to a one-unit change in the quantity consumed.,decision
The relationship between value and changes in the level of a criterion  such as increases in satisfaction point.,decision
Valuation information: Criteria  such as cost or profit  used to determine the merit of alternatives so that those with the greatest merit can be selected.,decision
Value: The determination of how much something is worth. If the item being valued is publicly traded  value can be observed in the market. For most real assets  it is not the case and we need to apply valuation techniques to impute a value.,decision
Value can be either objective or subjective. In the latter case  it means subjective worth or importance. For example the value of future benefits to the decision maker the value of clean air to the society." For the purposes of analysis  the subjective values must be measured on some scale. These measures of value should be based on preferences expressed by the person or group of interest. ,decision
In value analysis  one considers that the value v is related to the physical or other objective measure y of a consequence by a subjectively defined value function so that v = f(y). ,decision
Values are the ideas we have about what is good and what is bad  and how things should be. Besides business objective  we have values about family relationships  about work relationships and about other personal and relationships issues. In decision making  values are expressed in terms of weights given to the criteria  either explicitly or implicitly. Implicit values are derived by examining several similar decisions and noting which criteria must have been emphasized for a series of choices to have been made.,decision
Variable: A variable or variable number is a unspecified quantity that may assume any one of a set of values ( i.e.  the range of a variable). Variables can be continuous or discontinuous and dependent and independent.,decision
Vividness: A characteristic of information that makes it memorable because of its emotional appeal  proximity  or seeming reality.,decision
Warrant: A basis for drawing a conclusion  such as statistical significance  mathematical proof  or agreement among experts.,decision
Welfare: Satisfaction point  happiness  good.,decision
What are models?,decision
Models are simplified constructions of more complex phenomena. Leggo models of vehicles or buildings are examples. Motorized vehicles are complicated assemblages of mechanical and chemical systems creating and transferring energy. A model allows us to build one  simply  and see if works. If it doesn’t  the model allows us to alter some properties  add some parts  replace others  and see if it works. Applied to the social and historical world  models allow us to construct on paper an historical situation or a social process or an historical-social process  and then see if it works. Examples abound. In fact  they are everyday occurrences in the academic world. In the field of history  for instance  historians write books about different periods of time in different places of space  and frequently describe a series of events  and then try to explain them. Their reconstructions and explanations are informal models  although their authors might only rarely understand that. They are not said to be models but the historian has  effectively  built a complex assemblage (a society)  and subjected it to certain pressures (added on parts)  and then suggested that it works  or worked  that way  i.e.  the way s/he said it worked.,decision
A model is a work of fiction. Some properties ascribed to objects in the model will be genuine properties of the objects modeled  but others will be merely properties of convenience.,decision
what-if questioning: The logical inquiry applied to examine assumptions about key point factors  such as product demand or level of risk inherent in seemingly viable alternatives.,decision
Analysis poses a paradox for decision makers. Directed toward using objectives to compare various ways to respond to core problems  it can offer many valuable insights. However  when analysis is used without this perspective  it can do more harm than good  inhibiting legitimate questions about the merit of current alternatives.,decision
Various kinds of rationality are expressed in decision rules. These rules illustrate ways to act out preferences that call for risk aversion  risk taking  satisficing  and the like. Decision rules capture the preferences  expressed as behavior  of some decision makers but can be suboptimal because they do not consider trade-offs  providing a compensatory decision rule. The maximum expected value or MEV  rule shows how simple computations can cut through the uncertainty that often leads to bad decisions and capture these trade-offs.,decision
what-if questioning that relies on sensitivity analysis provides one way to relax assumptions about future conditions to identify conditions that favor an alternative. When key point assumptions about demand are relaxed  risks in the decision become clear. Sensitivity analysis can also be used to estimate the magnitude of unknown payoffs  such as the magnitude of possible litigation costs that prompt the adoption of several precautionary measures  such as insurance.,decision
X-Efficiency / X-Inefficiency: Managers are merely x-efficient due  to (1) selective rationality; (2) individual inadequacies; (3) discretionary effort; (4) pervasive inertia; (5) organizational entropy,decision
Zero sum game: A game in which the payoffs to the players add up to zero  so that a gain for one is necessarily equaled by loss to others. It contrasts with positive sum game. Zero-sum games or situations are situations in which the only way one side can get ahead (or get more of something) is if the other side gets less. This occurs when there is a finite amount of a resource to be distributed  and the together the parties want more than is available. In this situation  no side can get what they want unless the other side gets less than they want. This is also referred to as win-lose situations.,decision
Decision,decision
Conclusion of the meeting is to work on all the action points and pending issues,action point
Verdict is start using agile methodology,decision
Judgement is the follow the process on all stages in the project,decision
Resolution,decision
Appeal to your better judgment,decision
Day of Judgment,decision
Decision engine ( A form of search engine ),decision
Decision height ( The point at which a pilot must abort a landing ),decision
Executive decision,decision
Open verdict,decision
Papal decree,decision
Snap decision,decision
Split decision,decision
The Last Judgment,decision
The referee\'s decision is final,decision
behest  charge  commandment  decree  dictate  directive  edict  instruction  mandate  order  word,decision
last word  say-so,decision
adjudication  disposition  doom  finding  ruling  sentence,decision
choice  option  selection,decision
consensus,decision
belief  conviction  eye  feeling  mind  notion  persuasion  sentiment  view,decision
impression  perception  take,decision
attitude,decision
assumption  presumption  presupposition,decision
conclusion  decision  determination,decision
deliverance  esteem  estimate  estimation,decision
credence  credit  faith,decision
concept  conception  idea  thought,decision
position  stance  stand,decision
comment  obiter dictum  observation  reflection  remark,decision
conjecture  guess  hunch  hypothesis  surmise  theory,decision
advice  input  recommendation  suggestion,decision
angle  outlook  perspective  shoes  slant  standpoint  viewpoint,decision
counterview,decision
outcome,decision
the final result of a process  meeting  activity etc,decision
influence,decision
the effect that a person or thing has on someone’s decisions  opinions  or behaviour or on the way something happens,decision
consequence,decision
a result or effect of something,decision
effect,decision
a change that is produced in one person or thing by another,decision
impact on the budget is ,decision
an effect  or an influence,decision
side effect of the fixing the bugs and major,decision
any additional result that you did not expect or want,decision
Even the police  who see the aftermath of terrible  gut-wrenching crimes  aren\'t forced to watch them actually happening.,decision
the effects and results of something bad or important,decision
end result,decision
So while such an attack and its aftermath would not derail our eventual arrival at the next golden age  it quite possibly would delay it,decision
the result of an activity or process,decision
The aftermathof the explosion was malodorous and otic.,decision
basic idea,key point
basis,key point
center,key point
core,key point
cornerstone,key point
criterion,key point
crux,key point
essence,key point
gist,key point
heart,key point
idea,key point
kernel,key point
key pointstone,key point
linchpin,key point
mainspring,key point
marrow,key point
measure,key point
motive,key point
nub,key point
pith,key point
principle,key point
root,key point
source,key point
spring,key point
basisstar,key point
centerstar,key point
corestar,key point
cornerstonestar,key point
criterionstar,key point
cruxstar,key point
giststar,key point
heartstar,key point
ideastar,key point
kernelstar,key point
linchpinstar,key point
mainspringstar,key point
marrowstar,key point
measurestar,key point
motivestar,key point
nubstar,key point
pithstar,key point
principlestar,key point
rootstar,key point
source,key point
detest,action point
dislike,action point
enjoy,action point
hate,action point
fancy,action point
like,action point
love,action point
I love swimming but I hate jogging.,action point
They always enjoyed visiting their friends.,action point
A: Do you fancy going for a walk?,action point
B: I wouldn’t mind,action point
Phrases with mind:,action point
wouldn’t mind (= would like),action point
do not mind (= I am willing to),action point
would you mind (= will you please…?),action point
I wouldn’t mind having some fish and chips.,action point
I do not mind waiting for a few minutes.,action point
Would you mind holding this for me?,action point
Verbs of saying and thinking:,action point
admit,action point
consider,action point
 deny,action point
imagine,action point
remember,action point
suggest,action point
Our guide suggested waiting until the storm was over.,action point
Everyone denied seeing the accident.,action point
Other common verbs are:,action point
avoid,action point
begin,action point
finish,action point
keep,action point
miss,action point
practise,action point
risk,action point
start,action point
stop,action point
I haven’t finished writing this letter.,action point
Let us practise speaking English.,action point
Passive form of -ing,action point
Many of these verbs are sometimes followed by the passive form of -ing: being + past participle,action point
Noun + -ing clause,action point
Some verbs are followed by a noun and an -ing clause:,action point
Verbs to do with the senses:,action point
see,action point
watch,action point
hear,action point
smell,action point
listen to,action point
catch,action point
find,action point
imagine,action point
leave,action point
prevent,action point
stop,action point
performing,action point
doing,action point
act,action point
do this,action point
complete this,action point
is it completed,action point
performing,action point
consuming,action point
deploying,action point
working,action point
audting,action point
We are here today to talk about …,ignore
We are here to discuss …,ignore
Our main aim today is to …,key point
I’ve called this meeting today in order to …,ignore
As you can see here on the agenda …,ignore
Firstly  we shall be talking about …,ignore
First of all  we shall discuss …,ignore
After that  we shall be looking at …,ignore
Followed by …,ignore
If time allows  we will also cover …,ignore
Then  I will be handing it over to … for …,ignore
Secondly  we shall look at …,ignore
Next  I will ask you for (feedback  comments  your opinion  your views  suggestions  ideas) on …,key point
And finally  we shall discuss,decision
That’s a valid point but we will discuss that in more detail at a later date.,key point
Okay  Let us talk more about that later on.,key point
I am afraid we shall have to come back to this later.,key point
We were running short on time  so Let us move on to the next topic.,ignore
We were running behind now  so Let us skip to the next point on the agenda.,ignore
I am afraid we only have 10 minutes left  so Let us move on to….,ignore
we have spent too long on this issue now  Let us discuss it in more detail after this meeting.,ignore
I think we shall have to leave that there for now and move on to….,ignore
We were pushed for time  so Let us discuss….,ignore
Let us try to stay on topic  that can be discussed another time.,ignore
You can discuss that amongst yourselves after the meeting.,ignore
This matter is not on today’s agenda  Let us leave it for next time.,ignore
Let us save this for another meeting.,ignore
Getting back to the task at hand….,ignore
to go through or execute in the proper  customary  or established manner,action point
Perform what you promise,action point
to carry out; execute; do:,action point
to perform miracles.,action point
to go through or execute in the proper  customary  or establishedmanner:,action point
to perform the marriage ceremony.,action point
to carry into effect; fulfill:,action point
Perform what you promise.,action point
to act (a play  part  etc.)  as on the stage  in movies  or on television.,action point
to render (music)  as by playing or singing.,action point
to accomplish (any action involving skill or ability)  as before anaudience:,action point
to perform a juggling act.,action point
to fulfill a command  promise  or undertaking.,action point
to execute or do something.,action point
to act in a play:,action point
to perform in the role of Romeo.,action point
to perform music.,action point
doings  deeds; proceedings; happenings; events.,
the capacity or power of persons or things to be a compelling force on or produce effects on the actions  behavior  opinions  etc.  of others:,decision
He used family influence to get the contract.,decision
the action or process of producing effects on the actions  behavior  opinions  etc.  of another or others:,decision
Her mother\'s influence made her stay.,decision
a person or thing that exerts influence:,decision
He is an influence for the good.,decision
the exercise of similar power by human beings.,decision
to exercise influence on; affect; sway:,decision
to influence a person.,decision
to move or impel (a person) to some action:,decision
Outside factors influenced her to resign.,decision
under the influence  Law. less than drunk but with one\'s nervous system impaired:,decision
He was driving while under the influence.,decision
Also  under the influence of intoxicating liquor.,decision
Congratulations on finishing the project,key point
Did you find it difficult?”,ignore
My legs started hurting during the last five miles – but all the people cheering us on definitely helped me pull through the pain and reach the finish line,ignore
To succeed in doing something despite difficulties or obstacles.,key point
I pulled off an 85% on the test even though I didn’t study!,key point
Listening to music helped me pull through my depression.,action point
Yes  actually  I ran into him at the supermarket yesterday,ignore
Oh  really?,ignore
Yup. My wife sent me to the store because we had run out of sugar. I saw Jerry in the checkout line and we chatted for a few minutes,ignore
I ran into a former teacher of mine at the concert.,ignore
You look fantastic! Have you been working out,ignore
Yes  actually I’ve taken up yoga. I started classes last month  and I love it,key notes
If you are struggling to follow the lesson  make sure to turn on subtitles in the bottom right-hand corner to help you out!  I have added subtitles in English,key point
So by learning just one English word  you can often end up adding two—or more—to your vocabulary!,ignore
For example  a crane can be a bird with long legs or a tall machine that helps lift heavy objects.,ignore
If you use it as a verb  you might be craning your neck (stretching it) to see something.,ignore
There are other ways that words can take on multiple meanings  though.,ignore
One of these ways involves phrasal verbs.,ingore
Phrasal verbs open up a whole new world of possibilities for speaking English. They are phrases that give verbs completely different meanings. They are also used incredibly often in everyday conversation  which makes them important to know.,ignore
For example  with phrasal verbs  when your kitten comes across (finds) your paper cranes and makes one fall down (drop)  you can either shout “Cut it out!” to make him stop  or you can give in and let your kitten play with the paper crafts.,key points
