,price,place,built,sqft,sale,yearsOld,floor,totalFloor,bhk
1584,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1434,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1915,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2368,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2899,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1217,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1832,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1935,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1538,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2326,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
886,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1508,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2334,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
185,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1455,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
562,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1895,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
817,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
724,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1830,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
420,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2316,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1814,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2864,6600000,Gunjur,Super built-up  Area,1356,Resale,5,1,4,1
205,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
206,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1431,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2052,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
329,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
652,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
784,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1317,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2256,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1677,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
677,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2862,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1150,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2671,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
98,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2522,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1078,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
601,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2750,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2901,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1645,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
805,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2024,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2922,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
712,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
897,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1697,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
524,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
294,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1861,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1167,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1661,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1722,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2651,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2353,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2794,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2032,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1212,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2752,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
661,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2343,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2919,6600000,Gunjur,Super built-up  Area,1356,Resale,5,1,4,1
1412,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2187,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
496,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2380,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2093,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1763,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2393,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1704,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1346,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
866,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1171,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
119,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2112,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1062,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
940,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
117,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1871,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
749,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
675,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1358,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
971,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1127,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2121,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1632,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2856,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
236,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
141,39000000,Frazer Town,Super built-up  Area,4856,Resale,10,3,4,3
36,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2330,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1563,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2321,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1387,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
867,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
271,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2460,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2529,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1829,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
806,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1650,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2718,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2852,32500000,Sarakki Nagar,Super built-up  Area,2500,Resale,5,2,5,2
2502,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
107,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2496,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
389,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
984,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
482,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
711,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
640,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
819,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1253,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
347,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
756,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
779,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1892,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2372,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
82,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2287,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2380,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2322,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1481,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
648,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
761,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1459,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2290,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2335,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2144,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1076,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
217,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1781,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1492,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1507,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1945,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2095,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
316,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
46,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2468,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1756,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
419,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1993,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2082,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1762,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2568,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2568,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2165,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
67,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
464,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
614,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1018,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1396,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2808,32500000,Sarakki Nagar,Super built-up  Area,2500,Resale,5,2,5,2
1423,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2580,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1812,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2467,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2369,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2091,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2069,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1396,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2728,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1713,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2657,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
344,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2149,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2725,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
612,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
435,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2883,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1297,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2915,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
15,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
777,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
735,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1273,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
443,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1897,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2346,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
115,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1898,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
256,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1240,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2824,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
583,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2081,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1999,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1643,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1864,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
87,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1638,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
70,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1733,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1414,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1992,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1492,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2048,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
894,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
790,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
655,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
470,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1450,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1802,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
694,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
936,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2531,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1173,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
100,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
113,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1785,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2446,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2493,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2309,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2045,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
413,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1918,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2538,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2187,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2109,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1084,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2817,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
288,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2875,6600000,Gunjur,Super built-up  Area,1356,Resale,5,1,4,1
233,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1576,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
127,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
513,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
72,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1140,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
579,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2210,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2389,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
246,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
446,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
488,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
505,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
989,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2396,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1881,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2767,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1708,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1166,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2584,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
519,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
779,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2944,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1204,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1842,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2391,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2462,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2034,39000000,Frazer Town,Super built-up  Area,4856,Resale,10,3,4,3
2170,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
702,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1887,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
668,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
418,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2569,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2867,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
2320,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
125,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
16,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1255,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2364,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
672,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
753,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
897,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
938,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2583,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
951,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1874,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2531,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2280,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2934,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
715,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2481,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
20,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1161,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1940,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
14,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1727,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1571,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2390,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1098,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2714,47500000,Rajaji Nagar,Super built-up  Area,3526,Resale,5,17,29,17
2123,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2557,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1088,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1686,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2220,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1594,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1594,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
610,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1640,29300000,Malleshwaram,Super built-up  Area,2475,Resale,5,15,23,15
561,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
228,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
428,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1060,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
2838,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2209,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2868,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1385,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
912,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1354,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2056,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2806,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
1407,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
2855,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
228,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
1975,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2388,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
200,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2765,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1519,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
291,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2937,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1212,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1719,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
426,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
2165,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1386,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
2623,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1103,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
146,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2630,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
2898,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
1970,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2594,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1503,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2352,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1061,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
107,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
353,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
321,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
2769,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1145,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
775,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1944,4800000,Abbaiah Reddy Layout,Built-up  Area,1200,Resale,10,1,4,1
839,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
1587,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
1464,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
1861,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
1354,11500000,Yelahanka,Super built-up  Area,2190,Resale,5,3,5,3
1856,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
2774,3800000,Whitefield,Super built-up  Area,1019,Resale,1,2,5,2
611,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
86,7350000,Yelachenahalli,Super built-up  Area,1330,Resale,10,1,4,1
622,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
2587,10500000,Ambalipura,Super built-up  Area,1857,Resale,15,4,5,4
51,4900000,KR Puram,Super built-up  Area,1100,Resale,5,3,4,3
2556,6300000,BTM Layout,Super built-up  Area,1450,Resale,5,1,4,1
1203,15000000,Devarabeesana Halli,Super built-up  Area,1672,Resale,10,6,10,6
925,7900000,Subramanyapura,Super built-up  Area,1784,Resale,5,18,18,18
1801,4025000,Electronics City Phase 1,Super built-up  Area,1543,Resale,10,3,4,3
